time;SSE;E;S;W;SSW;EW
20210106:1810;0;0;0;0;0;0
20210106:1910;0;0;0;0;0;0
20210106:2010;0;0;0;0;0;0
20210106:2110;0;0;0;0;0;0
20210106:2210;0;0;0;0;0;0
20210106:2310;0;0;0;0;0;0
20210107:0010;0;0;0;0;0;0
20210107:0110;0;0;0;0;0;0
20210107:0210;0;0;0;0;0;0
20210107:0310;0;0;0;0;0;0
20210107:0410;0;0;0;0;0;0
20210107:0510;0;0;0;0;0;0
20210107:0610;0;0;0;0;0;0
20210107:0710;0;0;0;0;0;0
20210107:0810;0;0;0;0;0;0
20210107:0910;45.38;42.06;44;33.59;41.32;37.825
20210107:1010;135.65;105.34;132.23;71.42;120.42;88.38
20210107:1110;32.89;32.89;32.89;32.89;32.89;32.89
20210107:1210;85.62;78.41;86.63;80.12;86.31;79.265
20210107:1310;69.66;61.4;71.62;66.75;72.13;64.075
20210107:1410;41.82;34.12;44.28;42.23;45.5;38.175
20210107:1510;9.05;6.25;12.03;12.38;13.98;9.315
20210107:1610;0;0;0;0;0;0
20210107:1710;0;0;0;0;0;0
20210107:1810;0;0;0;0;0;0
20210107:1910;0;0;0;0;0;0
20210107:2010;0;0;0;0;0;0
20210107:2110;0;0;0;0;0;0
20210107:2210;0;0;0;0;0;0
20210107:2310;0;0;0;0;0;0
20210108:0010;0;0;0;0;0;0
20210108:0110;0;0;0;0;0;0
20210108:0210;0;0;0;0;0;0
20210108:0310;0;0;0;0;0;0
20210108:0410;0;0;0;0;0;0
20210108:0510;0;0;0;0;0;0
20210108:0610;0;0;0;0;0;0
20210108:0710;0;0;0;0;0;0
20210108:0810;0.03;0.03;0.03;0;0.03;0.015
20210108:0910;5.74;5.74;5.74;5.15;5.74;5.445
20210108:1010;40.47;40.47;40.47;37.53;40.47;39
20210108:1110;37.97;37.97;37.97;37.97;37.97;37.97
20210108:1210;37.07;37.07;37.07;37.07;37.07;37.07
20210108:1310;28.17;28.17;28.17;28.17;28.17;28.17
20210108:1410;13.76;12.58;13.76;13.76;13.76;13.17
20210108:1510;0.02;0;0.02;0.02;0.02;0.01
20210108:1610;0;0;0;0;0;0
20210108:1710;0;0;0;0;0;0
20210108:1810;0;0;0;0;0;0
20210108:1910;0;0;0;0;0;0
20210108:2010;0;0;0;0;0;0
20210108:2110;0;0;0;0;0;0
20210108:2210;0;0;0;0;0;0
20210108:2310;0;0;0;0;0;0
20210109:0010;0;0;0;0;0;0
20210109:0110;0;0;0;0;0;0
20210109:0210;0;0;0;0;0;0
20210109:0310;0;0;0;0;0;0
20210109:0410;0;0;0;0;0;0
20210109:0510;0;0;0;0;0;0
20210109:0610;0;0;0;0;0;0
20210109:0710;0;0;0;0;0;0
20210109:0810;44.07;36.51;33.09;6.98;17;21.745
20210109:0910;121.15;94.72;109.94;44.63;88.22;69.675
20210109:1010;59.73;58.03;59.53;52.4;58.86;55.215
20210109:1110;53.73;53.73;53.73;53.73;53.73;53.73
20210109:1210;57.87;57.87;57.87;57.87;57.87;57.87
20210109:1310;95.16;72.64;100.44;87.2;101.79;79.92
20210109:1410;57.07;41.16;63.3;58.05;66.39;49.605
20210109:1510;81.06;6.28;185.47;197.01;250.31;101.645
20210109:1610;0;0;0;0;0;0
20210109:1710;0;0;0;0;0;0
20210109:1810;0;0;0;0;0;0
20210109:1910;0;0;0;0;0;0
20210109:2010;0;0;0;0;0;0
20210109:2110;0;0;0;0;0;0
20210109:2210;0;0;0;0;0;0
20210109:2310;0;0;0;0;0;0
20210110:0010;0;0;0;0;0;0
20210110:0110;0;0;0;0;0;0
20210110:0210;0;0;0;0;0;0
20210110:0310;0;0;0;0;0;0
20210110:0410;0;0;0;0;0;0
20210110:0510;0;0;0;0;0;0
20210110:0610;0;0;0;0;0;0
20210110:0710;0;0;0;0;0;0
20210110:0810;22.66;19.35;17.75;5.73;10.58;12.54
20210110:0910;114.65;90.68;104.36;44.36;84.48;67.52
20210110:1010;206.78;145.19;199.54;78.48;175.14;111.835
20210110:1110;153.67;116.93;155.06;103.72;148.39;110.325
20210110:1210;227.71;121.25;242.15;146.01;237.33;133.63
20210110:1310;453.91;22.87;542.22;308.81;563.84;165.84
20210110:1410;143.13;49.59;186.46;149.88;207.68;99.735
20210110:1510;78.53;7.47;176.24;187;237.02;97.235
20210110:1610;0;0;0;0;0;0
20210110:1710;0;0;0;0;0;0
20210110:1810;0;0;0;0;0;0
20210110:1910;0;0;0;0;0;0
20210110:2010;0;0;0;0;0;0
20210110:2110;0;0;0;0;0;0
20210110:2210;0;0;0;0;0;0
20210110:2310;0;0;0;0;0;0
20210111:0010;0;0;0;0;0;0
20210111:0110;0;0;0;0;0;0
20210111:0210;0;0;0;0;0;0
20210111:0310;0;0;0;0;0;0
20210111:0410;0;0;0;0;0;0
20210111:0510;0;0;0;0;0;0
20210111:0610;0;0;0;0;0;0
20210111:0710;0;0;0;0;0;0
20210111:0810;23.25;20.02;18.36;6.36;11.23;13.19
20210111:0910;29.23;29.23;29.23;27.01;29.23;28.12
20210111:1010;32.32;32.32;32.32;29.9;32.32;31.11
20210111:1110;32.97;32.97;32.97;32.97;32.97;32.97
20210111:1210;38.49;38.49;38.49;38.49;38.49;38.49
20210111:1310;23.36;23.36;23.36;23.36;23.36;23.36
20210111:1410;32.76;30.31;32.76;32.76;32.76;31.535
20210111:1510;1.27;1.03;1.27;1.27;1.27;1.15
20210111:1610;0;0;0;0;0;0
20210111:1710;0;0;0;0;0;0
20210111:1810;0;0;0;0;0;0
20210111:1910;0;0;0;0;0;0
20210111:2010;0;0;0;0;0;0
20210111:2110;0;0;0;0;0;0
20210111:2210;0;0;0;0;0;0
20210111:2310;0;0;0;0;0;0
20210112:0010;0;0;0;0;0;0
20210112:0110;0;0;0;0;0;0
20210112:0210;0;0;0;0;0;0
20210112:0310;0;0;0;0;0;0
20210112:0410;0;0;0;0;0;0
20210112:0510;0;0;0;0;0;0
20210112:0610;0;0;0;0;0;0
20210112:0710;0;0;0;0;0;0
20210112:0810;11.86;10.52;9.79;4.41;6.75;7.465
20210112:0910;25.16;25.16;25.16;23.21;25.16;24.185
20210112:1010;35.25;35.25;35.25;32.64;35.25;33.945
20210112:1110;54.68;54.68;54.68;54.68;54.68;54.68
20210112:1210;69.8;67.63;70.09;68.12;69.99;67.875
20210112:1310;35.37;35.37;35.37;35.37;35.37;35.37
20210112:1410;8.07;7.3;8.07;8.07;8.07;7.685
20210112:1510;25.88;11.71;43.82;45.87;55.57;28.79
20210112:1610;0;0;0;0;0;0
20210112:1710;0;0;0;0;0;0
20210112:1810;0;0;0;0;0;0
20210112:1910;0;0;0;0;0;0
20210112:2010;0;0;0;0;0;0
20210112:2110;0;0;0;0;0;0
20210112:2210;0;0;0;0;0;0
20210112:2310;0;0;0;0;0;0
20210113:0010;0;0;0;0;0;0
20210113:0110;0;0;0;0;0;0
20210113:0210;0;0;0;0;0;0
20210113:0310;0;0;0;0;0;0
20210113:0410;0;0;0;0;0;0
20210113:0510;0;0;0;0;0;0
20210113:0610;0;0;0;0;0;0
20210113:0710;0;0;0;0;0;0
20210113:0810;42.17;35.77;32.05;8.11;17.35;21.94
20210113:0910;271.76;194.79;237.68;44.37;171.45;119.58
20210113:1010;303.58;196.06;290.39;78.59;247.02;137.325
20210113:1110;641.01;268.31;652.89;113.5;589.14;190.905
20210113:1210;442.19;139.63;481.09;209.24;467.48;174.435
20210113:1310;491.45;21.97;589.46;330.57;613.34;176.27
