time;SSE;E;S;W;SSW;EW
20210312:1510;52.66;48.94;52.66;52.66;52.66;50.8
20210312:1610;22.73;20.94;22.73;22.73;22.73;21.835
20210312:1710;0.58;0.58;0.77;0.77;0.77;0.675
20210312:1810;0;0;0;0;0;0
20210312:1910;0;0;0;0;0;0
20210312:2010;0;0;0;0;0;0
20210312:2110;0;0;0;0;0;0
20210312:2210;0;0;0;0;0;0
20210312:2310;0;0;0;0;0;0
20210313:0010;0;0;0;0;0;0
20210313:0110;0;0;0;0;0;0
20210313:0210;0;0;0;0;0;0
20210313:0310;0;0;0;0;0;0
20210313:0410;0;0;0;0;0;0
20210313:0510;0;0;0;0;0;0
20210313:0610;0;0;0;0;0;0
20210313:0710;7.37;7.37;7.37;6.66;7.37;7.015
20210313:0810;41.83;41.83;41.83;38.8;41.83;40.315
20210313:0910;483.7;434.06;433.46;118.93;351.35;276.495
20210313:1010;195.27;189.43;193.86;177.64;190.57;183.535
20210313:1110;357.19;301.78;357.74;271.71;345.4;286.745
20210313:1210;340.52;275.71;349.84;292.81;347.23;284.26
20210313:1310;497.72;245.91;554.26;449.91;574.1;347.91
20210313:1410;401.91;123.82;488.93;468.06;539.02;295.94
20210313:1510;232.83;107.75;323.17;380.63;386.33;244.19
20210313:1610;75.16;59.99;120.12;180.06;158.19;120.025
20210313:1710;0;0;0;0;0;0
20210313:1810;0;0;0;0;0;0
20210313:1910;0;0;0;0;0;0
20210313:2010;0;0;0;0;0;0
20210313:2110;0;0;0;0;0;0
20210313:2210;0;0;0;0;0;0
20210313:2310;0;0;0;0;0;0
20210314:0010;0;0;0;0;0;0
20210314:0110;0;0;0;0;0;0
20210314:0210;0;0;0;0;0;0
20210314:0310;0;0;0;0;0;0
20210314:0410;0;0;0;0;0;0
20210314:0510;0;0;0;0;0;0
20210314:0610;0;0;0;0;0;0
20210314:0710;17.34;17.34;17.34;15.92;17.34;16.63
20210314:0810;142.94;143.97;133.59;101.01;120.92;122.49
20210314:0910;172.91;169.33;169.24;147.3;163.37;158.315
20210314:1010;152.99;151.88;152.72;149.62;152.09;150.75
20210314:1110;108.38;108.38;108.38;108.38;108.38;108.38
20210314:1210;120.74;120.74;120.74;120.74;120.74;120.74
20210314:1310;539.18;246.57;603.42;486.18;626.05;366.375
20210314:1410;103.97;103.97;103.97;103.97;103.97;103.97
20210314:1510;144.38;114.22;161.8;173.36;174.27;143.79
20210314:1610;83.67;57.85;172.55;289.65;246.76;173.75
20210314:1710;0.99;0.99;1.22;1.22;1.22;1.105
20210314:1810;0;0;0;0;0;0
20210314:1910;0;0;0;0;0;0
20210314:2010;0;0;0;0;0;0
20210314:2110;0;0;0;0;0;0
20210314:2210;0;0;0;0;0;0
20210314:2310;0;0;0;0;0;0
20210315:0010;0;0;0;0;0;0
20210315:0110;0;0;0;0;0;0
20210315:0210;0;0;0;0;0;0
20210315:0310;0;0;0;0;0;0
20210315:0410;0;0;0;0;0;0
20210315:0510;0;0;0;0;0;0
20210315:0610;0;0;0;0;0;0
20210315:0710;10.09;10.09;10.09;9.18;10.09;9.635
20210315:0810;258.59;262.98;221.7;111.91;171.25;187.445
20210315:0910;298.96;280.48;279.72;162.41;248.86;221.445
20210315:1010;235.99;223.7;232.99;198.63;226.01;211.165
20210315:1110;289.67;261.74;289.96;246.74;283.74;254.24
20210315:1210;271.73;242.21;276.04;250.22;274.9;246.215
20210315:1310;568.96;243.65;639.52;512.44;664.54;378.045
20210315:1410;290.74;171.31;329.24;321.4;351.93;246.355
20210315:1510;230.52;114.16;313.52;368.69;371.84;241.425
20210315:1610;84.86;60.21;168.25;279.68;238.23;169.945
20210315:1710;4.96;4.96;5.53;5.53;5.53;5.245
20210315:1810;0;0;0;0;0;0
20210315:1910;0;0;0;0;0;0
20210315:2010;0;0;0;0;0;0
20210315:2110;0;0;0;0;0;0
20210315:2210;0;0;0;0;0;0
20210315:2310;0;0;0;0;0;0
20210316:0010;0;0;0;0;0;0
20210316:0110;0;0;0;0;0;0
20210316:0210;0;0;0;0;0;0
20210316:0310;0;0;0;0;0;0
20210316:0410;0;0;0;0;0;0
20210316:0510;0;0;0;0;0;0
20210316:0610;0;0;0;0;0;0
20210316:0710;6.86;6.86;6.86;6.19;6.86;6.525
20210316:0810;70.47;70.47;70.47;65.66;70.47;68.065
20210316:0910;56.04;56.04;56.04;56.04;56.04;56.04
20210316:1010;199.46;193.98;198.11;182.77;194.99;188.375
20210316:1110;272.98;251.25;273.21;239.64;268.38;245.445
20210316:1210;114.08;114.08;114.08;114.08;114.08;114.08
20210316:1310;127.96;127.96;127.96;127.96;127.96;127.96
20210316:1410;116.14;116.14;116.14;116.14;116.14;116.14
20210316:1510;108.97;97.26;112.69;115.28;115.38;106.27
20210316:1610;8.73;7.91;8.73;8.73;8.73;8.32
20210316:1710;0.6;0.6;0.79;0.79;0.79;0.695
20210316:1810;0;0;0;0;0;0
20210316:1910;0;0;0;0;0;0
20210316:2010;0;0;0;0;0;0
20210316:2110;0;0;0;0;0;0
20210316:2210;0;0;0;0;0;0
20210316:2310;0;0;0;0;0;0
20210317:0010;0;0;0;0;0;0
20210317:0110;0;0;0;0;0;0
20210317:0210;0;0;0;0;0;0
20210317:0310;0;0;0;0;0;0
20210317:0410;0;0;0;0;0;0
20210317:0510;0;0;0;0;0;0
20210317:0610;0;0;0;0;0;0
20210317:0710;4.45;4.45;4.45;3.96;4.45;4.205
20210317:0810;34.21;34.21;34.21;31.67;34.21;32.94
20210317:0910;78.26;78.26;78.26;78.26;78.26;78.26
20210317:1010;116.84;116.84;116.84;116.84;116.84;116.84
20210317:1110;126.69;126.69;126.69;126.69;126.69;126.69
20210317:1210;49.97;49.97;49.97;49.97;49.97;49.97
20210317:1310;36.15;36.15;36.15;36.15;36.15;36.15
20210317:1410;40.19;40.19;40.19;40.19;40.19;40.19
20210317:1510;44.27;41.08;44.27;44.27;44.27;42.675
20210317:1610;61.59;55.79;67.98;76.81;73.41;66.3
20210317:1710;0.22;0.22;0.38;0.38;0.38;0.3
20210317:1810;0;0;0;0;0;0
20210317:1910;0;0;0;0;0;0
20210317:2010;0;0;0;0;0;0
20210317:2110;0;0;0;0;0;0
20210317:2210;0;0;0;0;0;0
20210317:2310;0;0;0;0;0;0
20210318:0010;0;0;0;0;0;0
20210318:0110;0;0;0;0;0;0
20210318:0210;0;0;0;0;0;0
20210318:0310;0;0;0;0;0;0
20210318:0410;0;0;0;0;0;0
20210318:0510;0;0;0;0;0;0
20210318:0610;0;0;0;0;0;0
20210318:0710;30.5;30.5;30.5;28.2;30.5;29.35
20210318:0810;129.68;130.49;124.18;101.76;116.8;116.125
20210318:0910;364.1;339.11;336.94;166.98;293.26;253.045
20210318:1010;269.68;252.8;265.49;217.77;255.8;235.285
20210318:1110;390.44;329.53;391.12;296.66;377.72;313.095
20210318:1210;479.56;341.05;499.36;381.42;494.66;361.235
20210318:1310;377.39;258.72;405.13;357.99;415.48;308.355
20210318:1410;217.97;177.89;231.17;229.24;239.13;203.565
20210318:1510;37.81;35.04;37.81;37.81;37.81;36.425
20210318:1610;56.71;51.84;60.38;65.5;63.5;58.67
20210318:1710;1;1;1.23;1.23;1.23;1.115
20210318:1810;0;0;0;0;0;0
20210318:1910;0;0;0;0;0;0
20210318:2010;0;0;0;0;0;0
20210318:2110;0;0;0;0;0;0
20210318:2210;0;0;0;0;0;0
20210318:2310;0;0;0;0;0;0
20210319:0010;0;0;0;0;0;0
20210319:0110;0;0;0;0;0;0
20210319:0210;0;0;0;0;0;0
20210319:0310;0;0;0;0;0;0
20210319:0410;0;0;0;0;0;0
20210319:0510;0;0;0;0;0;0
20210319:0610;0;0;0;0;0;0
20210319:0710;131.55;152.82;102.62;62.72;70.68;107.77
20210319:0810;496.58;511.75;397.53;92.86;258.34;302.305
20210319:0910;523.43;476.24;471.36;137.8;386.96;307.02
20210319:1010;405.6;356.62;393.42;253.12;365.19;304.87
20210319:1110;704.94;498.4;707.23;381.96;663.04;440.18
20210319:1210;803.91;433.96;853.93;547.6;842.55;490.78
20210319:1310;575.09;267.37;644.12;528.08;669.83;397.725
20210319:1410;308.75;185.03;348.97;343.87;373.15;264.45
20210319:1510;262.92;114.69;367.87;443.19;441.87;278.94
20210319:1610;91.86;47.8;245.63;450.71;371.93;249.255
20210319:1710;10.34;10.34;35.54;229.75;126.7;120.045
20210319:1810;0;0;0;0;0;0
20210319:1910;0;0;0;0;0;0
20210319:2010;0;0;0;0;0;0
20210319:2110;0;0;0;0;0;0
20210319:2210;0;0;0;0;0;0
20210319:2310;0;0;0;0;0;0
20210320:0010;0;0;0;0;0;0
20210320:0110;0;0;0;0;0;0
20210320:0210;0;0;0;0;0;0
20210320:0310;0;0;0;0;0;0
20210320:0410;0;0;0;0;0;0
20210320:0510;0;0;0;0;0;0
20210320:0610;10.11;14.25;6.95;5.78;5.78;10.015
20210320:0710;389.47;494.24;238.38;34.36;61.89;264.3
20210320:0810;591.45;611.13;467.54;55.16;286.61;333.145
20210320:0910;746.13;669.31;659.94;42.88;513.67;356.095
20210320:1010;815.69;644.45;774.56;218.26;675.16;431.355
20210320:1110;837.36;570.9;840.24;409.66;785.68;490.28
20210320:1210;797.03;436.75;844.02;551.73;833.77;494.24
20210320:1310;697.29;249.41;789.02;635.63;822.64;442.52
20210320:1410;534.25;61.23;669.36;655.36;745.91;358.295
20210320:1510;325.09;50.76;502.65;625.29;621.19;338.025
20210320:1610;90.45;36.35;273.4;510.08;419.59;273.215
20210320:1710;14.26;14.26;20.19;57.51;37.3;35.885
20210320:1810;0;0;0;0;0;0
20210320:1910;0;0;0;0;0;0
20210320:2010;0;0;0;0;0;0
20210320:2110;0;0;0;0;0;0
20210320:2210;0;0;0;0;0;0
20210320:2310;0;0;0;0;0;0
20210321:0010;0;0;0;0;0;0
20210321:0110;0;0;0;0;0;0
20210321:0210;0;0;0;0;0;0
20210321:0310;0;0;0;0;0;0
20210321:0410;0;0;0;0;0;0
20210321:0510;0;0;0;0;0;0
20210321:0610;0;0;0;0;0;0
20210321:0710;20.1;20.1;20.1;18.5;20.1;19.3
20210321:0810;29.97;29.97;29.97;27.71;29.97;28.84
20210321:0910;75.95;75.95;75.95;75.95;75.95;75.95
20210321:1010;124.64;124.64;124.64;124.64;124.64;124.64
20210321:1110;93.69;93.69;93.69;93.69;93.69;93.69
20210321:1210;242.76;229.52;244.77;233.47;244.34;231.495
20210321:1310;132.97;132.97;132.97;132.97;132.97;132.97
20210321:1410;199.69;175.7;207.68;206.97;212.58;191.335
20210321:1510;144.32;121.92;155.14;163.5;163.08;142.71
20210321:1610;62.74;57.23;67.44;74.17;71.46;65.7
20210321:1710;12.96;12.96;15.6;26.71;20.71;19.835
20210321:1810;0;0;0;0;0;0
20210321:1910;0;0;0;0;0;0
20210321:2010;0;0;0;0;0;0
20210321:2110;0;0;0;0;0;0
20210321:2210;0;0;0;0;0;0
20210321:2310;0;0;0;0;0;0
20210322:0010;0;0;0;0;0;0
20210322:0110;0;0;0;0;0;0
20210322:0210;0;0;0;0;0;0
20210322:0310;0;0;0;0;0;0
20210322:0410;0;0;0;0;0;0
20210322:0510;0;0;0;0;0;0
20210322:0610;0.82;0.82;0.82;0.63;0.63;0.725
20210322:0710;89.54;97.49;79.05;61.27;67.38;79.38
20210322:0810;141.74;142.8;135.99;111.94;128.32;127.37
20210322:0910;242.53;234.69;233.5;178.95;219.3;206.82
20210322:1010;143.62;143.62;143.62;143.62;143.62;143.62
20210322:1110;94.46;94.46;94.46;94.46;94.46;94.46
20210322:1210;107.04;107.04;107.04;107.04;107.04;107.04
20210322:1310;140.18;140.18;140.18;140.18;140.18;140.18
20210322:1410;165.39;156.46;168.38;168.18;170.22;162.32
20210322:1510;98.27;90.96;98.94;99.46;99.43;95.21
20210322:1610;80.5;71.15;97.33;121.72;111.78;96.435
20210322:1710;14.9;14.9;19.63;42.08;29.88;28.49
20210322:1810;0;0;0;0;0;0
20210322:1910;0;0;0;0;0;0
20210322:2010;0;0;0;0;0;0
20210322:2110;0;0;0;0;0;0
20210322:2210;0;0;0;0;0;0
20210322:2310;0;0;0;0;0;0
20210323:0010;0;0;0;0;0;0
20210323:0110;0;0;0;0;0;0
20210323:0210;0;0;0;0;0;0
20210323:0310;0;0;0;0;0;0
20210323:0410;0;0;0;0;0;0
20210323:0510;0;0;0;0;0;0
20210323:0610;3.89;3.89;3.89;3.44;3.44;3.665
20210323:0710;100.38;110.81;86.76;64.67;71.56;87.74
20210323:0810;172.55;174.73;161.28;120.94;146.25;147.835
20210323:0910;237.25;230.23;229.05;179.55;216.19;204.89
20210323:1010;294.15;274.64;289.16;233.32;277.78;253.98
20210323:1110;577.16;438.21;578.88;361.63;549.31;399.92
20210323:1210;718.11;416.24;759.08;515.91;751.18;466.075
20210323:1310;657.87;253.85;742.87;608.67;775.14;431.26
20210323:1410;473.35;101.85;583.62;578.36;648.04;340.105
20210323:1510;299.35;75.68;447.67;557.97;549.21;316.825
20210323:1610;93.03;42.89;260.47;483.48;395.3;263.185
20210323:1710;15.2;15.2;45.27;238.88;135.5;127.04
20210323:1810;0;0;0;0;0;0
20210323:1910;0;0;0;0;0;0
20210323:2010;0;0;0;0;0;0
20210323:2110;0;0;0;0;0;0
20210323:2210;0;0;0;0;0;0
20210323:2310;0;0;0;0;0;0
20210324:0010;0;0;0;0;0;0
20210324:0110;0;0;0;0;0;0
20210324:0210;0;0;0;0;0;0
20210324:0310;0;0;0;0;0;0
20210324:0410;0;0;0;0;0;0
20210324:0510;0;0;0;0;0;0
20210324:0610;27.82;42.8;16.39;13.18;13.18;27.99
20210324:0710;396.53;503.37;248.31;39.77;73.47;271.57
20210324:0810;585.37;608.56;465.59;58.98;292.51;333.77
20210324:0910;724.47;655.72;642.48;56.18;504.84;355.95
20210324:1010;799.6;638.11;759.8;232.89;664.71;435.5
20210324:1110;808.6;558.91;811.65;412.73;760.5;485.82
20210324:1210;782.91;436.38;829.8;553.2;821.16;494.79
20210324:1310;665.31;255.38;753.15;617.33;786.98;436.355
20210324:1410;514.98;74.23;644.63;640.92;720.23;357.575
20210324:1510;314.04;57.07;481.6;608.13;596.32;332.6
20210324:1610;97.55;60.92;221.48;394.8;324.4;227.86
20210324:1710;15;15;47.58;259.42;145.99;137.21
20210324:1810;0;0;0;0;0;0
20210324:1910;0;0;0;0;0;0
20210324:2010;0;0;0;0;0;0
20210324:2110;0;0;0;0;0;0
20210324:2210;0;0;0;0;0;0
20210324:2310;0;0;0;0;0;0
20210325:0010;0;0;0;0;0;0
20210325:0110;0;0;0;0;0;0
20210325:0210;0;0;0;0;0;0
20210325:0310;0;0;0;0;0;0
20210325:0410;0;0;0;0;0;0
20210325:0510;0;0;0;0;0;0
20210325:0610;2.75;2.75;2.75;2.39;2.39;2.57
20210325:0710;123.75;139.76;103.14;71.32;80.03;105.54
20210325:0810;319.1;328.55;273.87;131.6;212.49;230.075
20210325:0910;461.4;428.1;421.19;164.2;356.94;296.15
20210325:1010;650.84;533.72;621.3;258.72;552.24;396.22
20210325:1110;430.22;359.58;431.17;322.57;415.86;341.075
20210325:1210;371.3;306.56;381.23;327.3;379.46;316.93
20210325:1310;137.95;137.95;137.95;137.95;137.95;137.95
20210325:1410;51.3;51.3;51.3;51.3;51.3;51.3
20210325:1510;60.21;56.03;60.21;60.21;60.21;58.12
20210325:1610;73.45;66.87;80.05;89.87;85.74;78.37
20210325:1710;12.67;12.67;14.54;19.03;16.58;15.85
20210325:1810;0;0;0;0;0;0
20210325:1910;0;0;0;0;0;0
20210325:2010;0;0;0;0;0;0
20210325:2110;0;0;0;0;0;0
20210325:2210;0;0;0;0;0;0
20210325:2310;0;0;0;0;0;0
20210326:0010;0;0;0;0;0;0
20210326:0110;0;0;0;0;0;0
20210326:0210;0;0;0;0;0;0
20210326:0310;0;0;0;0;0;0
20210326:0410;0;0;0;0;0;0
20210326:0510;0;0;0;0;0;0
20210326:0610;138.54;264.45;37.91;13.56;13.56;139.005
20210326:0710;408.43;519.78;256.83;39.16;77.44;279.47
20210326:0810;592.31;617.97;471.07;60.16;298.02;339.065
20210326:0910;727.68;660.24;644.74;66.67;507.53;363.455
20210326:1010;460.87;401.3;445.48;270.82;410.32;336.06
20210326:1110;640.39;475.14;642.63;386.3;607.47;430.72
20210326:1210;606.96;394.44;638.52;465.09;633.19;429.765
20210326:1310;583.89;277.78;654.69;550.13;683.07;413.955
20210326:1410;377.19;175.09;442.52;443.13;482.68;309.11
20210326:1510;265.86;120.09;367.46;450.97;440.74;285.53
20210326:1610;95.87;45.69;262.57;496.59;400.3;271.14
20210326:1710;22.58;22.58;38.38;134.6;81.8;78.59
20210326:1810;0;0;0;0;0;0
20210326:1910;0;0;0;0;0;0
20210326:2010;0;0;0;0;0;0
20210326:2110;0;0;0;0;0;0
20210326:2210;0;0;0;0;0;0
20210326:2310;0;0;0;0;0;0
20210327:0010;0;0;0;0;0;0
20210327:0110;0;0;0;0;0;0
20210327:0210;0;0;0;0;0;0
20210327:0310;0;0;0;0;0;0
20210327:0410;0;0;0;0;0;0
20210327:0510;0;0;0;0;0;0
20210327:0610;6.85;6.85;6.85;6.18;6.18;6.515
20210327:0710;171.2;200.01;134.69;81.06;93.64;140.535
20210327:0810;566.7;591.7;454.24;84.87;296.89;338.285
20210327:0910;124.91;124.91;124.91;124.91;124.91;124.91
20210327:1010;180.92;179.59;180.57;176.75;179.79;178.17
20210327:1110;733.87;528.84;736.7;417.11;693.62;472.975
20210327:1210;369.49;311.53;378.52;330.63;377.07;321.08
20210327:1310;390.74;280.81;417.86;378.81;429.02;329.81
20210327:1410;115.95;115.95;115.95;115.95;115.95;115.95
20210327:1510;144.1;125.14;152.02;158.9;157.95;142.02
20210327:1610;106.61;82.57;180.84;291.25;244.41;186.91
20210327:1710;10.89;10.89;11.94;11.94;11.94;11.415
20210327:1810;0;0;0;0;0;0
20210327:1910;0;0;0;0;0;0
20210327:2010;0;0;0;0;0;0
20210327:2110;0;0;0;0;0;0
20210327:2210;0;0;0;0;0;0
20210327:2310;0;0;0;0;0;0
20210328:0010;0;0;0;0;0;0
20210328:0110;0;0;0;0;0;0
20210328:0210;0;0;0;0;0;0
20210328:0310;0;0;0;0;0;0
20210328:0410;0;0;0;0;0;0
20210328:0510;0;0;0;0;0;0
20210328:0610;10.7;10.7;10.7;9.75;9.75;10.225
20210328:0710;417.28;531.87;264.5;41.46;83.67;286.665
20210328:0810;390.79;405.44;328.32;130.81;243.67;268.125
20210328:0910;743.47;676.51;658.46;72.68;519;374.595
20210328:1010;643.7;532.57;614.94;277.02;548.8;404.795
20210328:1110;734.09;526.49;737.04;414.53;693.38;470.51
20210328:1210;801.03;451.99;851.23;574.63;843.67;513.31
20210328:1310;437.3;285.35;474.58;421.91;490.05;353.63
20210328:1410;433.55;150.64;523.64;527.92;578.97;339.28
20210328:1510;307.93;76.02;462.32;589.88;571.27;332.95
20210328:1610;105.1;75.28;202;345.52;284.43;210.4
20210328:1710;23.89;23.89;31.55;70.42;48.9;47.155
20210328:1810;0;0;0;0;0;0
20210328:1910;0;0;0;0;0;0
20210328:2010;0;0;0;0;0;0
20210328:2110;0;0;0;0;0;0
20210328:2210;0;0;0;0;0;0
20210328:2310;0;0;0;0;0;0
20210329:0010;0;0;0;0;0;0
20210329:0110;0;0;0;0;0;0
20210329:0210;0;0;0;0;0;0
20210329:0310;0;0;0;0;0;0
20210329:0410;0;0;0;0;0;0
20210329:0510;0;0;0;0;0;0
20210329:0610;171.04;321.67;48.94;16.22;16.22;168.945
20210329:0710;423.36;538.88;269.81;41.92;86.67;290.4
20210329:0810;611.62;640.67;488.55;57.33;312.52;349
20210329:0910;727.98;665.03;646.69;77.05;512.73;371.04
20210329:1010;813.62;656.07;773.46;259.14;679.06;457.605
20210329:1110;819.02;574.31;822.46;436.07;772.6;505.19
20210329:1210;788.5;451.08;835.87;573.3;829.16;512.19
20210329:1310;674.23;269.66;763.13;638.95;799.14;454.305
20210329:1410;519.38;83.31;649.08;657.53;726.37;370.42
20210329:1510;322.47;53.24;493.89;634.43;612.48;343.835
20210329:1610;96.84;40.15;278.54;532;426.14;286.075
20210329:1710;20.68;20.68;53.59;267.83;151.25;144.255
20210329:1810;0;0;0;0;0;0
20210329:1910;0;0;0;0;0;0
20210329:2010;0;0;0;0;0;0
20210329:2110;0;0;0;0;0;0
20210329:2210;0;0;0;0;0;0
20210329:2310;0;0;0;0;0;0
20210330:0010;0;0;0;0;0;0
20210330:0110;0;0;0;0;0;0
20210330:0210;0;0;0;0;0;0
20210330:0310;0;0;0;0;0;0
20210330:0410;0;0;0;0;0;0
20210330:0510;0;0;0;0;0;0
20210330:0610;170.95;316.67;52.41;19.21;19.21;167.94
20210330:0710;427.38;541.54;275.28;44.4;91.39;292.97
20210330:0810;595.4;623.51;479.33;59.64;311.03;341.575
20210330:0910;702.14;645.47;627.58;77.49;502.42;361.48
20210330:1010;765.36;625.99;730.02;258.74;646.05;442.365
20210330:1110;772.44;553.27;775.53;426.16;731.86;489.715
20210330:1210;728.76;431.94;769.53;542.5;764.12;487.22
20210330:1310;640.96;266.86;720.63;611.39;752.83;439.125
20210330:1410;508.52;82.69;630.95;641.08;702.95;361.885
20210330:1510;316.74;52.91;481.04;615.53;593.19;334.22
20210330:1610;96.11;38.69;277.07;526.13;422.11;282.41
20210330:1710;18.99;18.99;57.1;305.11;170.84;162.05
20210330:1810;0;0;0;0;0;0
20210330:1910;0;0;0;0;0;0
20210330:2010;0;0;0;0;0;0
20210330:2110;0;0;0;0;0;0
20210330:2210;0;0;0;0;0;0
20210330:2310;0;0;0;0;0;0
20210331:0010;0;0;0;0;0;0
20210331:0110;0;0;0;0;0;0
20210331:0210;0;0;0;0;0;0
20210331:0310;0;0;0;0;0;0
20210331:0410;0;0;0;0;0;0
20210331:0510;0;0;0;0;0;0
20210331:0610;169.04;311.58;53.5;20.08;20.08;165.83
20210331:0710;415.48;527.13;268.89;45.81;92.57;286.47
20210331:0810;593;622.19;476.88;58.37;309.84;340.28
20210331:0910;699.58;643.51;624.59;81.7;499.87;362.605
20210331:1010;760.74;622.36;725.33;260.86;641.68;441.61
20210331:1110;763.48;547.2;766.63;423.78;723.36;485.49
20210331:1210;726.28;430.62;767.44;541.97;762.31;486.295
20210331:1310;645.08;266.84;726.44;617.33;759.69;442.085
20210331:1410;500.21;86.17;621.03;633.28;692.8;359.725
20210331:1510;310.02;57.01;468.89;602.02;578.4;329.515
20210331:1610;96.85;43.45;266;502.96;402.78;273.205
20210331:1710;20.18;20.18;57.17;297.69;167.07;158.935
20210331:1810;0;0;0;0;0;0
20210331:1910;0;0;0;0;0;0
20210331:2010;0;0;0;0;0;0
20210331:2110;0;0;0;0;0;0
20210331:2210;0;0;0;0;0;0
20210331:2310;0;0;0;0;0;0
20210401:0010;0;0;0;0;0;0
20210401:0110;0;0;0;0;0;0
20210401:0210;0;0;0;0;0;0
20210401:0310;0;0;0;0;0;0
20210401:0410;0;0;0;0;0;0
20210401:0510;0;0;0;0;0;0
20210401:0610;26.86;31.69;23.1;20.24;20.24;25.965
20210401:0710;218.44;261.09;165.7;86.25;104.99;173.67
20210401:0810;454.36;474.8;376.79;111.87;268.35;293.335
20210401:0910;628.47;581.26;564.31;112.52;458.96;346.89
20210401:1010;725.73;596.67;692.3;266.24;614.08;431.455
20210401:1110;748.66;539.07;751.84;422.36;709.53;480.715
20210401:1210;719.38;430.05;760.75;539.49;755.93;484.77
20210401:1310;634.78;272.95;715.51;609.85;749.15;441.4
20210401:1410;489.68;104.16;606.84;621.03;678.03;362.595
20210401:1510;293.02;95.14;425.24;542.34;519.99;318.74
20210401:1610;105.55;64.6;239.68;439.46;352.49;252.03
20210401:1710;26.92;26.92;54.99;237.32;136.51;132.12
20210401:1810;0;0;0;0;0;0
20210401:1910;0;0;0;0;0;0
20210401:2010;0;0;0;0;0;0
20210401:2110;0;0;0;0;0;0
20210401:2210;0;0;0;0;0;0
20210401:2310;0;0;0;0;0;0
20210402:0010;0;0;0;0;0;0
20210402:0110;0;0;0;0;0;0
20210402:0210;0;0;0;0;0;0
20210402:0310;0;0;0;0;0;0
20210402:0410;0;0;0;0;0;0
20210402:0510;0;0;0;0;0;0
20210402:0610;34.53;41.95;28.78;24.95;24.95;33.45
20210402:0710;90.07;93.06;86.49;75.99;82.43;84.525
20210402:0810;150.45;151.41;147.07;128.19;142.64;139.8
20210402:0910;221.95;219.08;218;194.66;211.96;206.87
20210402:1010;252.63;246.09;250.86;231.83;246.9;238.96
20210402:1110;353.84;323.06;354.36;307.82;347.75;315.44
20210402:1210;489.52;376.71;507.39;417.88;505.43;397.295
20210402:1310;300.36;262.83;310.05;297.75;314.31;280.29
20210402:1410;380.19;207.55;437.51;445.75;473.99;326.65
20210402:1510;275.8;146.19;365.05;447.97;431.09;297.08
20210402:1610;109.16;51.24;294.93;567.55;449.04;309.395
20210402:1710;33.27;33.27;55.98;199.54;119.47;116.405
20210402:1810;0;0;0;0;0;0
20210402:1910;0;0;0;0;0;0
20210402:2010;0;0;0;0;0;0
20210402:2110;0;0;0;0;0;0
20210402:2210;0;0;0;0;0;0
20210402:2310;0;0;0;0;0;0
20210403:0010;0;0;0;0;0;0
20210403:0110;0;0;0;0;0;0
20210403:0210;0;0;0;0;0;0
20210403:0310;0;0;0;0;0;0
20210403:0410;0;0;0;0;0;0
20210403:0510;0;0;0;0;0;0
20210403:0610;19.48;19.48;19.48;17.91;17.91;18.695
20210403:0710;73.52;74.23;72.66;66.57;71.7;70.4
20210403:0810;210.08;213.64;197.85;151.3;181.86;182.47
20210403:0910;240.31;236.39;234.83;202.44;226.45;219.415
20210403:1010;451.82;405.7;439.32;301.97;411.34;353.835
20210403:1110;678.7;516.65;681.37;431.67;647.88;474.16
20210403:1210;612.54;421.29;642.01;493.38;639.04;457.335
20210403:1310;472.67;309.16;513.38;462.72;531.19;385.94
20210403:1410;392.48;202.11;455.27;465.44;495.21;333.775
20210403:1510;232.79;158.17;281.77;328.83;318.7;243.5
20210403:1610;118.23;82.01;236.25;416.58;336.51;249.295
20210403:1710;34.45;34.45;52.73;164.46;101.85;99.455
20210403:1810;0;0;0;0;0;0
20210403:1910;0;0;0;0;0;0
20210403:2010;0;0;0;0;0;0
20210403:2110;0;0;0;0;0;0
20210403:2210;0;0;0;0;0;0
20210403:2310;0;0;0;0;0;0
20210404:0010;0;0;0;0;0;0
20210404:0110;0;0;0;0;0;0
20210404:0210;0;0;0;0;0;0
20210404:0310;0;0;0;0;0;0
20210404:0410;0;0;0;0;0;0
20210404:0510;0;0;0;0;0;0
20210404:0610;37.69;44.71;32.25;28.21;28.21;36.46
20210404:0710;90.75;93.65;87.33;76.92;83.45;85.285
20210404:0810;125.96;126.23;125.04;114.39;123.85;120.31
20210404:0910;144;143.83;143.76;142.33;143.39;143.08
20210404:1010;154.61;154.61;154.61;154.61;154.61;154.61
20210404:1110;190.94;190.4;190.95;190.13;190.83;190.265
20210404:1210;331.14;298.91;336.43;310.88;335.94;304.895
20210404:1310;533.56;312.57;586.75;521.91;609.95;417.24
20210404:1410;523.64;112.61;645.4;666.57;719.07;389.59
20210404:1510;327.66;76.67;486.25;628.49;597.56;352.58
20210404:1610;109.61;54.95;281.8;534.7;423.72;294.825
20210404:1710;28.76;28.76;65.22;304.67;172.32;166.715
20210404:1810;0;0;0;0;0;0
20210404:1910;0;0;0;0;0;0
20210404:2010;0;0;0;0;0;0
20210404:2110;0;0;0;0;0;0
20210404:2210;0;0;0;0;0;0
20210404:2310;0;0;0;0;0;0
20210405:0010;0;0;0;0;0;0
20210405:0110;0;0;0;0;0;0
20210405:0210;0;0;0;0;0;0
20210405:0310;0;0;0;0;0;0
20210405:0410;0;0;0;0;0;0
